cluster,names,scores,logfoldchanges,pvals,pvals_adj
0,LSAMP,86.97006,4.496452,0.0,0.0
0,ZNRF3,42.85339,2.7116942,0.0,0.0
0,AJAP1,42.667236,3.1354194,0.0,0.0
0,TMEM158,42.64296,2.23383,0.0,0.0
0,PBX1,42.44169,1.6472416,0.0,0.0
0,HOXC4,42.428772,2.4484346,0.0,0.0
0,ENPP3,42.382298,2.9580405,0.0,0.0
0,ITGA6,42.270397,1.9228806,0.0,0.0
0,TRDC,42.188995,1.9877802,0.0,0.0
0,MTPN,42.144848,1.396263,0.0,0.0
0,COPS9,42.080414,1.672688,0.0,0.0
0,TJP1,42.054016,1.5823064,0.0,0.0
0,CACHD1,42.05226,2.0230181,0.0,0.0
0,TMSB10,42.017204,1.0132213,0.0,0.0
0,SLC24A2,41.941635,3.1198616,0.0,0.0
0,ZSWIM5,41.775246,2.8963392,0.0,0.0
0,RNASE1,41.725822,1.7605132,0.0,0.0
0,HSBP1,41.56237,1.4198765,0.0,0.0
0,PPP1R1B,40.644,2.3178284,0.0,0.0
0,CEMIP2,40.66071,1.4525757,0.0,0.0
0,DDX24,40.796696,1.2529571,0.0,0.0
0,CAPN7,40.865604,1.8383404,0.0,0.0
0,STK33,40.872173,2.943902,0.0,0.0
0,LRRC49,40.89008,2.2158065,0.0,0.0
0,CEP112,42.88905,2.046783,0.0,0.0
0,IL1RAPL1,40.90083,2.3867488,0.0,0.0
0,JAG1,41.017273,1.7750752,0.0,0.0
0,ERC2,41.033558,3.0189288,0.0,0.0
0,RCN2,41.036392,1.6761062,0.0,0.0
0,GNAI1,41.211792,1.8524538,0.0,0.0
0,DCN,41.314987,2.3490484,0.0,0.0
0,LNPEP,41.316643,1.930184,0.0,0.0
0,CASS4,40.925793,2.4423487,0.0,0.0
0,LINC02381,42.892277,2.7123322,0.0,0.0
0,ARHGAP32,42.923344,2.1059322,0.0,0.0
0,CD9,42.932915,1.5864838,0.0,0.0
0,TLL1,45.133102,2.5182667,0.0,0.0
0,OLFM3,45.169033,2.9377656,0.0,0.0
0,TANK,45.232178,1.5934099,0.0,0.0
0,MLLT3,45.46119,2.0304449,0.0,0.0
0,LPIN2,45.58268,1.8812156,0.0,0.0
0,GRIK4,45.786457,3.1671524,0.0,0.0
0,MSRB2,45.114338,2.0296974,0.0,0.0
0,AOPEP,45.87799,1.7974193,0.0,0.0
0,EDN3,46.003765,2.7665503,0.0,0.0
0,DANCR,46.00709,2.0974805,0.0,0.0
0,SLC45A2,46.18136,2.8124468,0.0,0.0
0,RDH10,46.450325,2.5981674,0.0,0.0
0,CDK15,46.52741,2.9962413,0.0,0.0
0,IGF2R,46.55316,1.7603396,0.0,0.0
1,RGS5,95.6275,6.087756,0.0,0.0
1,SLC35F1,42.340263,3.7846334,0.0,0.0
1,CNN3,42.19657,1.7235247,0.0,0.0
1,COL5A2,41.822273,3.7699087,0.0,0.0
1,MAPK10,41.798676,2.924915,0.0,0.0
1,PTN,41.66874,4.7256584,0.0,0.0
1,FILIP1,41.6541,3.0816562,0.0,0.0
1,SYNPO2,41.620796,2.6508038,0.0,0.0
1,MSRB3,41.442677,2.7910206,0.0,0.0
1,RPS8,41.40659,0.766441,0.0,0.0
1,FHL2,41.281044,2.592705,0.0,0.0
1,SLC12A2,41.20052,2.302926,0.0,0.0
1,NDN,41.076725,4.2387,0.0,0.0
1,SPECC1,41.0148,2.6759996,0.0,0.0
1,SLC7A2,40.907925,4.2958894,0.0,0.0
1,FABP5,40.906765,1.8621855,0.0,0.0
1,EEF1A1,40.87267,0.5676311,0.0,0.0
1,LDHB,40.83902,1.5118176,0.0,0.0
1,DST,40.779404,1.7271907,0.0,0.0
1,MAFF,40.722355,2.0008752,0.0,0.0
1,CTNNA3,40.687027,5.3215036,0.0,0.0
1,EPB41L2,40.632946,1.6997774,0.0,0.0
1,PDE8A,40.388485,1.8772352,0.0,0.0
1,ARHGEF17,40.143032,4.158442,0.0,0.0
1,CRIP1,40.09806,2.2425232,0.0,0.0
1,PARD3,40.033474,1.7106,0.0,0.0
1,FILIP1L,42.423714,2.7489526,0.0,0.0
1,COL4A1,39.877632,1.8323326,0.0,0.0
1,COBLL1,42.519676,3.3012292,0.0,0.0
1,DENND2A,42.735695,4.651712,0.0,0.0
1,CYSTM1,45.069412,1.6954803,0.0,0.0
1,CACNA2D1,44.821373,3.661377,0.0,0.0
1,C12orf57,44.67436,1.7260401,0.0,0.0
1,SEPTIN11,44.64162,2.168891,0.0,0.0
1,PMEPA1,44.43883,2.847366,0.0,0.0
1,ABCC9,44.412563,3.6276636,0.0,0.0
1,ITM2B,44.276848,1.3460544,0.0,0.0
1,PPP1R14A,44.274433,3.3432775,0.0,0.0
1,A2M,44.244225,1.8408762,0.0,0.0
1,TBX2,44.146103,5.033225,0.0,0.0
1,CALM2,44.140514,1.1486301,0.0,0.0
1,RASL11A,44.11214,2.687026,0.0,0.0
1,CCDC102B,44.10839,3.092959,0.0,0.0
1,DMD,44.019463,2.8945882,0.0,0.0
1,LBH,43.988297,1.9894328,0.0,0.0
1,CD81,43.871227,1.5539427,0.0,0.0
