names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
IFI27,14.569617,,4.3833803867239255e-48,1.485089275022066e-44,1.0,1.0
STMN1,13.195701,,9.288668812444996e-40,1.5735004968281825e-36,1.0,1.0
RAMP2,12.960266,,2.0553282785637913e-38,2.3211507359247083e-35,1.0,1.0
GNG11,11.886222,,1.3957918025737834e-32,1.1822356567799946e-29,1.0,1.0
SPARCL1,11.802164,,3.804021006026492e-32,2.577604633683551e-29,1.0,1.0
CCN3,11.568655,,5.940657341089291e-31,3.354491178601753e-28,1.0,1.0
RNASE1,11.153377,,6.893927665980556e-29,3.3366609903345887e-26,1.0,1.0
CISD1,11.006744,,3.5458809975507103e-28,1.5016806024627258e-25,1.0,1.0
RBP1,10.304613,,6.716167817011932e-25,2.528264062670714e-22,1.0,1.0
ESM1,9.254026,,2.1619108943180176e-20,7.324554109949444e-18,1.0,1.0
ENPP2,9.240249,,2.4592595357340395e-20,7.57451937006084e-18,1.0,1.0
AC104126.1,9.20951,,3.2761727897088216e-20,9.249727842944573e-18,1.0,1.0
MUCL1,9.1656885,,4.923159939171294e-20,1.2830512210701803e-17,1.0,1.0
NR4A2,-9.136641,,6.442221882296274e-20,1.5590176955156982e-17,1.0,1.0
LSAMP,9.057135,,1.339226574559193e-19,2.961500737956192e-17,1.0,1.0
TSPYL2,-9.052402,,1.3985835834503858e-19,2.961500737956192e-17,1.0,1.0
NFKB1,-9.043335,,1.5196398169290162e-19,3.028552764562063e-17,1.0,1.0
SIK3,-9.035595,,1.631131747240133e-19,3.0701524220275393e-17,1.0,1.0
NEAT1,-8.904174,,5.3785155436221105e-19,9.34854839595397e-17,1.0,1.0
TM4SF1,8.90132,,5.518623610362438e-19,9.34854839595397e-17,1.0,1.0
IGFBP4,8.826169,,1.0832262587244192e-18,1.747605030742063e-16,1.0,1.0
ZEB2,-8.782971,,1.5921135407914764e-18,2.4518548528188734e-16,1.0,1.0
PTPRC,-8.552153,,1.2081429791441866e-17,1.7796471362350017e-15,1.0,1.0
JARID2,-8.526522,,1.5081418749238075e-17,2.128993613434108e-15,1.0,1.0
DKK3,8.470459,,2.4442768726377274e-17,3.312484017798648e-15,1.0,1.0
ZNF331,-8.42458,,3.6204697091232087e-17,4.717750528657474e-15,1.0,1.0
TNFSF10,8.37155,,5.686559093012528e-17,7.135578595232017e-15,1.0,1.0
REL,-8.209426,,2.2224896596315553e-16,2.6892124881541818e-14,1.0,1.0
CAV1,8.193989,,2.5270870748864203e-16,2.952334830936273e-14,1.0,1.0
EMCN,8.142749,,3.8640388157746254e-16,4.3637878359481435e-14,1.0,1.0
ATP2B1,-8.129708,,4.3032374148286654e-16,4.703022052077264e-14,1.0,1.0
ARHGAP15,-8.125446,,4.457193305920836e-16,4.719053412643685e-14,1.0,1.0
TNFAIP3,-8.1038885,,5.322976840305046e-16,5.464922889379847e-14,1.0,1.0
LDB2,8.0253525,,1.012350208289143e-15,1.008777207554005e-13,1.0,1.0
S100A4,-8.019242,,1.0639935134230074e-15,1.0299457209934712e-13,1.0,1.0
FLT1,8.008774,,1.158576312330735e-15,1.0903490406045916e-13,1.0,1.0
PEBP1,8.003028,,1.2139641535422327e-15,1.1115974465408336e-13,1.0,1.0
CLDN5,7.939946,,2.0226902890171823e-15,1.8033880787342668e-13,1.0,1.0
SIPA1L1,-7.8931894,,2.9455985776929556e-15,2.558894354159932e-13,1.0,1.0
SOX18,7.858738,,3.88022453180383e-15,3.2865501784378445e-13,1.0,1.0
CREM,-7.721464,,1.1500091087127446e-14,9.503002098338485e-13,1.0,1.0
ADGRL4,7.6992006,,1.3692022174278436e-14,1.1044897887251271e-12,1.0,1.0
FCER1G,-7.615296,,2.6308790955472718e-14,2.0728879943521292e-12,1.0,1.0
RGS2,-7.4405746,,1.0024828620806933e-13,7.719118038021337e-12,1.0,1.0
STC1,7.3922486,,1.4436633860174783e-13,1.0869181226282704e-11,1.0,1.0
CD44,-7.365291,,1.7676090053316802e-13,1.3018824587095072e-11,1.0,1.0
DCN,7.310577,,2.6599797205008685e-13,1.917449211288711e-11,1.0,1.0
CD83,-7.2954254,,2.9771724491485477e-13,2.1013875536906833e-11,1.0,1.0
INSR,7.2033815,,5.873737390436081e-13,4.061269852815804e-11,1.0,1.0
PLEK,-7.149295,,8.722468347474917e-13,5.910344552249004e-11,1.0,1.0
